id,basketID,soldToOrgN_B,soldToPartN_B,takenOutN_B,soldToOrgN_A,soldToPartN_A,takenOutN_A,5_P,10_P,20_P,50_P,100_P,200_P,500_P,1000_P,2000_P,5000_P,10000_P,20000_P,5_C,10_C,20_C,50_C,100_C,200_C,500_C,1000_C,2000_C,5000_C,10000_C,20000_C
61285c17-b02c-4dbd-9219-302a47612868,47ab9b88-cb70-40ee-aaa3-77ee48c1984d,2,22,0,2,23,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
9a327679-6212-472c-8eaa-535d2e7780df,47ab9b88-cb70-40ee-aaa3-77ee48c1984d,2,23,0,2,24,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
f583eeff-4a6a-4978-93cf-65f64ddf9610,47ab9b88-cb70-40ee-aaa3-77ee48c1984d,2,22,0,2,23,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
